Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Australia,AUS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,AUT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,AZE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,76.9,80,82.9,85.5,87.8,89.8,91.3,92.6,93.7,94.7,95.5,96,96.6,97,97.3,97.6,97.8,98.1,98.1,98.4,98.5
"Bahamas, The",BHS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bahrain,BHR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bangladesh,BGD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,8.5,8.6,9,9.3,9.6,10.2,10.8,11.6,12.6,13.6,14.6,15.7,16.8,18.2,19.4,20.7,21.9,23.5,24.9,26.4,28
Barbados,BRB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belarus,BLR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,94.8,95.5,96.2,96.9,97.4,97.9,98.1,98.5,98.7,99,99.2,99.3,99.4,99.5,99.5,99.6,99.7,99.7,99.7,99.7,99.7
Belgium,BEL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belize,BLZ,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,81.3,81.8,82.3,82.8,83,83.3,83.1,83.6,83.4,83.5,83.4,83.3,83.3,83.4,83.2,83.2,83,83,82.9,82.8,82.5
Benin,BEN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,1.1,1.5,1.9,2.3,2.8,3.3,3.8,4.2,4.4,4.8,4.9,5,5.1,5.3,5.2,5.2,5.3,5.4,5.7,5.8,6
Bermuda,BMU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,34.3,38.2,42.6,47,51,55.4,58.9,62.3,65.7,68.5,71.2,73.8,76.2,78.1,80,81.9,83.3,84.7,86,86.8,88
Bolivia,BOL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,65.2,66.4,67.4,68.8,70.1,71.6,72.9,74.4,75.8,77.2,78.6,79.9,81.2,82.35,83.5,84.6,85.6,86.6,87.4,88.3,89.1
Bosnia and Herzegovina,BIH,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,51.65,51.3,50.2,49.1,47.9,46.65,45.8,45.6,44.8,43.7,43.2,42.1,41.9,41.8,41.05,41.3,40.8,42.05,40.85,40.9,41.1
Botswana,BWA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,47.9,49.3,51,52.1,53.4,54.8,56.3,57.3,58.4,59.4,60.1,60.5,61.4,61.8,62.5,63,63.7,64.4,64.8,65.4,66
Brazil,BRA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,90.2,90.7,91.3,91.6,92.1,92.5,93.1,93.4,93.9,94.3,94.7,95.1,95.4,95.7,95.8,96.1,96.2,96.4,96.4,96.5,96.5
British Virgin Islands,VGB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bulgaria,BGR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,3.1,3.4,3.6,3.9,4.3,4.6,5,5.4,5.8,6.2,6.9,7.5,8.2,8.9,10,10.8,11.9,13.1,14.5,15.8,17.2
Burundi,BDI,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
Cabo Verde,CPV,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,63.4,63.7,64.3,64.6,65.6,66.5,67.4,68.4,69.7,70.8,71.9,73,74.35,75.5,76.7,77.9,79,80.2,81.1,82,83
Cambodia,KHM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,4.6,5.2,6.1,6.8,7.5,8.4,9.4,10.4,11.5,12.9,14.5,16.1,18.2,20.7,23.4,26.9,31.2,35.7,41.3,47.2,53.5
Cameroon,CMR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,11.7,12.8,13.8,14.8,15.7,16.6,17.4,18.4,19,19.7,20.3,21,21.9,22.8,23.6,24.3,25.3,26.4,27.4,28.6,29.4
Canada,CAN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cayman Islands,CYM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1
Chad,TCD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2.6,2.5,2.3,2.3,2.2,2.3,2.4,2.5,2.6,2.85,3.1,3.4,3.8,4.2,4.7,5.2,6,6.7,7.5,8.4,9.5
Channel Islands,CHI,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
China,CHN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,42.9,44.1,45.45,46.7,48.5,50.3,52.7,55.2,57.4,60.1,62.9,65.8,68.8,71.5,74.4,77.1,79.5,82,83.8,85.9,87.8
Colombia,COL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,79.8,80.8,81.1,82,82.8,83.3,83.9,84.9,85.6,86.5,87.1,87.9,88.8,89.4,90,90.7,91.4,91.9,92.6,93.1,93.6
Comoros,COM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,0.8,1,1.2,1.5,1.8,2.1,2.5,2.9,3.3,3.8,4.3,4.7,5.3,5.8,6.3,6.7,7.4,7.8,8.3,9,9.6
"Congo, Dem. Rep.",COD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,1.3,1.5,1.8,2.1,2.3,2.6,2.8,3.1,3.2,3.4,3.5,3.6,3.8,3.8,3.9,3.9,3.9,4,4.1,4.3,4.3
"Congo, Rep.",COG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,9.4,10,10.6,11.3,12.25,13.1,14.2,15.5,16.9,18.5,20.3,21.9,24,26,27.7,30,31.8,33.9,35.9,37.7,39.65
Costa Rica,CRI,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,89.7,90,90.4,90.6,91,91.4,91.8,92.1,92.4,92.8,93.2,93.5,93.9,94.2,94.6,95,95.3,95.6,95.9,96.2,96.4
Cote d'Ivoire,CIV,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,17,16.7,16.5,16.4,16.4,16.7,16.9,17.5,18.3,19.3,20.6,21.6,23.3,25.1,27.3,29.6,32.1,34.7,37.4,40.3,42.6
Croatia,HRV,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cuba,CUB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,69.4,73,75.95,78.9,81.15,83,85.1,86.5,87.9,89.1,90.2,91.3,92,92.7,93.4,93.65,94.2,94.4,94.7,95,94.7
Curacao,CUW,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Czechia,CZE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Denmark,DNK,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Djibouti,DJI,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,4.1,4.3,4.5,4.7,5,5.3,5.7,5.9,6.4,7,7.4,7.8,8.3,8.8,9.05,9.6,9.8,10.2,10.1,10.5,10.3
Dominica,DMA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,81.9,82.9,83.9,84.5,85.6,86.1,86.9,87.4,88.1,88.3,88.7,88.9,88.9,89.2,89.1,88.9,88.5,88.1,87.55,86.9,86.7
Dominican Republic,DOM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,85.6,86.1,86.3,86.55,86.7,87,87.1,87.3,87.5,87.6,87.9,88.3,88.6,89.1,89.6,90.2,90.7,91.3,91.9,92.4,92.8
Ecuador,ECU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,90.5,91,91.8,92.3,92.7,93.1,93.4,93.6,94,93.95,94,94.2,94.2,94.3,94.4,94.4,94.5,94.4,94.4,94.5,94.5
"Egypt, Arab Rep.",EGY,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,89.4,92,94.2,95.8,97,97.8,98.6,98.9,99.2,99.5,99.7,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
El Salvador,SLV,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,62.4,64.4,66.15,67.8,69.5,71.4,73.1,75.2,77,78.6,80.4,82.1,83.8,85.3,87,88.3,89.7,90.9,91.9,92.9,93.8
Equatorial Guinea,GNQ,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,19.9,20.1,20.3,20.9,21.2,21.6,22.1,22.6,22.9,23,23.5,23.4,23.6,23.7,23.65,23.3,23.3,23.1,22.8,22,21.9
Eritrea,ERI,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,4.3,4.8,5.4,5.8,6.3,6.9,7.4,7.6,8.2,8.4,8.9,9,9.5,9.6,9.8,9.8,10.1,10.2,10.4,10.4,10.5
Estonia,EST,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Eswatini,SWZ,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,27.2,28.6,29.6,31.2,32.6,34.1,35.8,37.5,39.1,41.3,42.5,43.7,45.2,45.8,46.7,47.2,47.7,48.1,48.6,48.8,48.9
Ethiopia,ETH,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,0.9,1,1.1,1.1,1.3,1.4,1.6,1.9,2.2,2.6,3,3.4,3.8,4.3,4.9,5.4,6,6.6,7.4,8,8.8
Faroe Islands,FRO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,28.2,28.3,28.45,28.8,29.1,29.7,30.5,31.1,32.4,33.4,35,36.6,38.3,40.2,42.7,44.9,47.3,49.3,51.8,54,56.1
Finland,FIN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
France,FRA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
French Polynesia,PYF,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,67.6,69.4,71,72.9,74.4,76,77.4,79,80.7,82,83.2,84.2,85.3,86.3,87.2,88,88.8,89.3,90,90.4,90.9
"Gambia, The",GMB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,3.6,3.5,3.5,3.4,3.2,3.1,3,2.9,2.7,2.4,2.3,2.3,2.1,2,1.9,1.8,1.8,1.8,1.8,1.7,1.7
Georgia,GEO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,48.8,50.3,52.1,53.7,55.7,58.2,60.7,62.8,66,68.5,71,74.2,76.8,79.2,81.9,84.2,86,87.8,89.6,90.9,92.2
Germany,DEU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ghana,GHA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,7.5,8.2,8.9,9.8,10.7,11.8,12.75,13.8,15.3,16.6,17.6,19.1,20.2,21.6,22.9,24.2,25.9,26.9,28.3,29.7,31
Gibraltar,GIB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Greenland,GRL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,92.9,93.1,93.2,93.5,93.4,93.2,93,92.8,92.7,92.3,92,91.5,90.75,90.4,89.5,88.9,88.2,87.5,86.7,85.6,84.8
Guam,GUM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,38.9,38.3,37.6,37.2,36.8,36.4,36.5,36.5,36.6,37.2,37.6,37.8,38.7,39.3,40.2,41,42,43.2,44,45,46.2
Guinea,GIN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,1,1,1.1
Guinea-Bissau,GNB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1,1,0.9
Guyana,GUY,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Haiti,HTI,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2.8,3,3.1,3.2,3.2,3.5,3.4,3.6,3.6,3.7,3.8,3.8,3.8,3.9,3.9,4,4.1,4.2,4.3,4.4,4.5
Honduras,HND,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,33.4,34.8,36.2,37.5,38.9,39.8,40.75,42.1,42.4,43.4,44.1,44.5,45,45.9,46.5,46.9,47.6,48.1,48.9,49.4,50.1
"Hong Kong SAR, China",HKG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Hungary,HUN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Iceland,ISL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
India,IND,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,25.1,26,27.3,28.1,29.3,30.65,31.9,33.4,35.3,37.2,39.2,42,44.4,47.4,50.9,54.3,58.6,62.2,66.8,70.5,74.5
Indonesia,IDN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,8.8,10.4,12.5,15,18.5,23,28.45,34.2,40.6,46.6,52.6,58.1,63,67.3,71.6,75.5,78.9,82.1,84.8,87.2,89.1
"Iran, Islamic Rep.",IRN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,92.5,93.7,94.3,95.05,95.7,96,96.5,96.8,96.9,97,97.1,97.1,97.1,97.1,97,96.8,96.6,96.5,96.4,96.1,95.8
Iraq,IRQ,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,74.4,78.6,82.5,86,88.5,90.8,92.7,94.2,95.3,96.3,97.1,97.7,98.2,98.5,98.8,99,99.1,99.3,99.3,99.4,99.4
Ireland,IRL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Isle of Man,IMN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Italy,ITA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Jamaica,JAM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,79.5,80.9,82.4,83.2,84.5,85.2,85.7,86.2,86.3,86.1,85.9,85.4,84.8,83.8,82.7,81.7,79.8,79.1,76.4,74.7,72.8
Japan,JPN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Jordan,JOR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.7,99.7,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8
Kazakhstan,KAZ,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,86.1,86.9,87.9,88.8,89.3,89.6,90.5,91.2,91.6,92.1,92.4,92.8,93,93.2,93.4,93.4,93.4,93.4,93.5,93.3,93.1
Kenya,KEN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2.5,3,3.5,4.1,4.7,5.2,5.9,6.5,7,7.6,8.5,9.5,10.6,11.9,13.8,15.75,18.1,20.7,23.6,26.4,30
Kiribati,KIR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,1,1.1,1.3,1.5,1.7,1.9,2.2,2.6,3,3.5,4.1,4.7,5.5,6.3,7.2,8.2,9.3,10.45,11.8,13.3,14.8
"Korea, Dem. People's Rep.",PRK,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,1.8,2.1,2.4,2.8,3.4,3.9,4.4,5,5.6,6.2,6.8,7.5,8.1,8.8,9.3,10,10.6,11.3,12.3,13.2,13.9
"Korea, Rep.",KOR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Kosovo,XKX,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kuwait,KWT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Kyrgyz Republic,KGZ,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,56.1,57.9,60.4,62.1,64.3,66.1,68.2,70.1,71.5,72.8,74.2,75.1,76,76.6,76.9,77.2,77.3,77.3,77.1,77.3,77
Lao PDR,LAO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,1.5,1.6,1.8,2,2.3,2.5,2.9,3.2,3.5,4,4.3,4.8,5.2,5.8,6.2,6.8,7.3,8,8.7,9.4,10.2
Latvia,LVA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Lebanon,LBN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lesotho,LSO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,19.2,20.85,22.4,23.9,25.4,26.9,28.5,29.8,31.1,32.4,33.6,34.9,35.9,36.8,37.8,38.7,39.2,39.8,40.2,41.1,41.5
Liberia,LBR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8
Libya,LBY,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Liechtenstein,LIE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,LTU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Luxembourg,LUX,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Macao SAR, China",MAC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Madagascar,MDG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,1.2,1.2,1.1,1.1,1.1,1,1,1,1,0.9,1,1,1,1,1,1,1.1,1.3,1.35,1.45,1.5
Malawi,MWI,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.3,2.3,2.4,2.4,2.4,2.3,2.3,2.2,2,1.9,1.8,1.7,1.5,1.4
Malaysia,MYS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,98.1,98.1,98.1,98,97.8,97.5,97.2,96.9,96.5,95.9,95.2,94.5,93.5,92.7,91.6,90.7,89.5,88.2,86.9,86,84.1
Maldives,MDV,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,40.4,51.3,61.8,70.9,78.3,83.8,88,91.1,93.4,95,96.3,97.2,97.9,98.4,98.8,99.1,99.3,99.5,99.6,99.7,99.7
